Baltimore Ravens,BAL,AFC,N,8,7,13,7
Cincinnati Bengals,CIN,AFC,N,15,13,10,1
Cleveland Browns,CLE,AFC,N,27,9,27,2
Pittsburgh Steelers,PIT,AFC,N,7,21,7,8
Houston Texans,HOU,AFC,S,14,6,15,4
Indianapolis Colts,IND,AFC,S,6,18,5,10
Jacksonville Jaguars,JAX,AFC,S,32,26,28,2
Tennessee Titans,TEN,AFC,S,30,29,31,2
Buffalo Bills,BUF,AFC,E,18,4,21,5
Miami Dolphins,MIA,AFC,E,11,19,18,8
New England Patriots,NE,AFC,E,1,8,1,9
New York Jets,NYJ,AFC,E,28,24,22,6
Denver Broncos,DEN,AFC,W,4,17,9,10
Kansas City Chiefs,KC,AFC,W,16,2,8,9
Oakland Raiders,OAK,AFC,W,31,32,30,9
San Diego Chargers,SD,AFC,W,17,12,14,3
Chicago Bears,CHI,NFC,N,23,31,25,3
Detroit Lions,DET,NFC,N,22,3,11,5
Green Bay Packers,GB,NFC,N,2,14,2,10
Minnesota Vikings,MIN,NFC,N,20,11,19,7
Atlanta Falcons,ATL,NFC,S,12,27,23,3
Carolina Panthers,CAR,NFC,S,19,20,16,1
New Orleans Saints,NO,NFC,S,10,28,24,4
Tampa Bay Buccaneers,TB,NFC,S,29,25,32,1
Dallas Cowboys,DAL,NFC,E,5,15,6,4
Philadelphia Eagles,PHI,NFC,E,3,23,12,9
Washington Redskins,WAS,NFC,E,26,30,29,1
New York Giants,NYG,NFC,E,13,22,26,5
Arizona Cardinals,ARI,NFC,W,24,5,4,6
San Francisco 49ers,SF,NFC,W,25,10,17,7
Seattle Seahawks,SEA,NFC,W,9,1,3,8
St. Louis Rams,STL,NFC,W,21,16,20,6
